stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
395_01,,柏木,,40.526966,141.158641,395_01,,0,
395_02,,柏木,,40.527002,141.158515,395_02,,0,
396_01,,笊畑,,40.522428,141.147983,396_01,,0,
396_02,,笊畑,,40.522502,141.147975,396_02,,0,
397_01,,長下入口,,40.516369,141.145597,397_01,,0,
397_02,,長下入口,,40.516463,141.14563,397_02,,0,
398_01,,森ノ越,,40.515009,141.138997,398_01,,0,
398_02,,森ノ越,,40.514956,141.138648,398_02,,0,
399_01,,コゲ畑,,40.511055,141.130235,399_01,,0,
4_01,,官庁街通,,40.616163,141.212539,4_01,,0,
4_02,,官庁街通,,40.615659,141.212716,4_02,,0,
40_01,,百石上明堂,,40.597265,141.430247,40_01,,0,
40_02,,百石上明堂,,40.597045,141.430054,40_02,,0,
400_01,,長下集会所前,,40.507943,141.13843,400_01,,0,
400_02,,長下集会所前,,40.507897,141.138386,400_02,,0,
401_01,,長下南口,,40.506345,141.14796,401_01,,0,
401_02,,長下南口,,40.506232,141.147924,401_02,,0,
402_01,,指久保,,40.503684,141.148486,402_01,,0,
402_02,,指久保,,40.503684,141.148379,402_02,,0,
403_01,,西吾郷,,40.597941,141.20334,403_01,,0,
403_02,,西吾郷,,40.598071,141.203394,403_02,,0,
404_01,,赤沼入口,,40.593939,141.18825,404_01,,0,
404_02,,赤沼入口,,40.594065,141.188159,404_02,,0,
405_01,,赤沼,,40.596081,141.183409,405_01,,0,
405_02,,赤沼,,40.596144,141.183443,405_02,,0,
406_01,,上川原,,40.59645,141.179454,406_01,,0,
406_02,,上川原,,40.596532,141.179521,406_02,,0,
407_01,,三日市川原,,40.592685,141.176434,407_01,,0,
407_02,,三日市川原,,40.592604,141.176208,407_02,,0,
408_01,,三日市,,40.589204,141.175016,408_01,,0,
408_02,,三日市,,40.58924,141.174941,408_02,,0,
409_01,,新屋敷,,40.58681,141.168715,409_01,,0,
409_02,,新屋敷,,40.58688,141.168675,409_02,,0,
41_01,,百石中央,,40.594461,141.430236,41_01,,0,
41_02,,百石中央,,40.594746,141.430075,41_02,,0,
410_01,,下洗,,40.584649,141.159314,410_01,,0,
410_02,,下洗,,40.58475,141.159336,410_02,,0,
411_01,,西高通,,40.583301,141.155188,411_01,,0,
411_02,,西高通,,40.583377,141.155066,411_02,,0,
412_01,,上笹橋,,40.779888,141.216279,412_01,,0,
412_02,,上笹橋,,40.779843,141.216199,412_02,,0,
413_01,,坂下町,,40.777126,141.215212,413_01,,0,
413_02,,坂下町,,40.77713,141.215083,413_02,,0,
414_01,,東北町支所前,,40.778872,141.217668,414_01,,0,
414_02,,東北町支所前,,40.778831,141.217803,414_02,,0,
415_01,,東北小学校前,,40.781088,141.224927,415_01,,0,
415_02,,東北小学校前,,40.780897,141.224867,415_02,,0,
416_01,,外蛯沢,,40.782002,141.226745,416_01,,0,
416_02,,外蛯沢,,40.782046,141.226997,416_02,,0,
417_01,,運動公園通,,40.780059,141.235232,417_01,,0,
417_02,,運動公園通,,40.77997,141.235291,417_02,,0,
418_01,,運動公園入口,,40.779507,141.238348,418_01,,0,
418_02,,運動公園入口,,40.77919,141.238933,418_02,,0,
419_01,,長崎,,40.779226,141.250129,419_01,,0,
419_02,,長崎,,40.77912,141.250129,419_02,,0,
42_01,,おいらせ病院前,,40.592924,141.43095,42_01,,0,
42_02,,おいらせ病院前,,40.592732,141.430907,42_02,,0,
420_01,,蒼前,,40.776849,141.274893,420_01,,0,
420_02,,蒼前,,40.776752,141.274958,420_02,,0,
421_01,,昭和,,40.745445,141.218124,421_01,,0,
421_02,,昭和,,40.745502,141.21821,421_02,,0,
422_01,,蛯沢中央,,40.78467,141.231364,422_01,,0,
422_02,,蛯沢中央,,40.784621,141.231434,422_02,,0,
423_01,,西保戸沢,,40.786809,141.246591,423_01,,0,
423_02,,西保戸沢,,40.786687,141.246644,423_02,,0,
424_01,,保戸沢,,40.788556,141.250839,424_01,,0,
424_02,,保戸沢,,40.788475,141.250936,424_02,,0,
425_01,,乙部,,40.802714,141.251901,425_01,,0,
425_02,,乙部,,40.80269,141.252062,425_02,,0,
426_01,,野田頭,,40.819737,141.269017,426_01,,0,
426_02,,野田頭,,40.819692,141.269119,426_02,,0,
427_01,,甲地小学校前,,40.773289,141.284506,427_01,,0,
427_02,,甲地小学校前,,40.773224,141.284335,427_02,,0,
428_01,,長久保東口,,40.770209,141.284402,428_01,,0,
428_02,,長久保東口,,40.770221,141.284311,428_02,,0,
429_01,,蓼内入口,,40.762699,141.286081,429_01,,0,
429_02,,蓼内入口,,40.762674,141.285974,429_02,,0,
43_01,,市川高屋敷,,40.590467,141.432275,43_01,,0,
43_02,,市川高屋敷,,40.590218,141.43221,43_02,,0,
430_01,,土橋,,40.764354,141.29255,430_01,,0,
430_02,,土橋,,40.764305,141.292663,430_02,,0,
431_01,,徳万舘,,40.765471,141.309813,431_01,,0,
431_02,,徳万舘,,40.765406,141.309781,431_02,,0,
432_01,,舟ヶ沢,,40.763376,141.318023,432_01,,0,
432_02,,舟ヶ沢,,40.763303,141.317862,432_02,,0,
433_01,,鶴ヶ崎,,40.754565,141.322822,433_01,,0,
434_01,,三沢案内所,,40.662759,141.330284,434_01,,0,
434_02,,三沢案内所,,40.66258,141.3303,434_02,,0,
435_01,,小松ヶ丘西口,,40.660269,141.331225,435_01,,0,
435_02,,小松ヶ丘西口,,40.660723,141.331603,435_02,,0,
436_01,,公園前,,40.659433,141.335079,436_01,,0,
